Name,FromDate,ToDate,Position,Height,Weight,Born,College,URL,Shoots,DOB,Deceased
Sean Higgins,1991,1998,G-F,6-9,205,"December 30, 1968",University of Michigan,http://basketball-reference.com/players/h/higgise01.html, Right,1968-12-30,
Kenny Higgs,1979,1982,G,6-0,180,"January 31, 1955",Louisiana State University,http://basketball-reference.com/players/h/higgske01.html, Right,1955-01-31,
Johnny High,1980,1984,G,6-3,185,"April 25, 1957","University of Nevada, Reno",http://basketball-reference.com/players/h/highjo01.html, Right,1957-04-25,1987-06-13
Wayne Hightower,1963,1972,F-C,6-8,192,"January 14, 1940",University of Kansas,http://basketball-reference.com/players/h/hightwa01.html, Right,1940-01-14,2002-04-18
Nene Hilario,2003,2015,F-C,6-11,260,"September 13, 1982", ,http://basketball-reference.com/players/h/hilarne01.html, Right,1982-09-13,
Armond Hill,1977,1984,G,6-4,190,"March 31, 1953",Princeton University,http://basketball-reference.com/players/h/hillar01.html, Right,1953-03-31,
Cleo Hill,1962,1962,G,6-1,185,"May 24, 1938",Winston-Salem State University,http://basketball-reference.com/players/h/hillcl01.html, Right,1938-05-24,
Gary Hill,1964,1965,G,6-4,185,"October 7, 1941",Oklahoma City University,http://basketball-reference.com/players/h/hillga01.html, Right,1941-10-07,2009-01-17
George Hill,2009,2015,G,6-2,180,"May 4, 1986",Indiana University-Purdue University Indianapolis,http://basketball-reference.com/players/h/hillge01.html, Right,1986-05-04,
Grant Hill,1995,2013,F,6-8,225,"October 5, 1972",Duke University,http://basketball-reference.com/players/h/hillgr01.html, Right,1972-10-05,
Jordan Hill,2010,2015,F,6-10,235,"July 27, 1987",University of Arizona,http://basketball-reference.com/players/h/hilljo01.html, Right,1987-07-27,
Simmie Hill,1970,1974,F,6-7,233,"November 14, 1946",West Texas A&M University,http://basketball-reference.com/players/h/hillsi01.html, Right,1946-11-14,2013-07-14
Solomon Hill,2014,2015,F,6-7,220,"March 18, 1991",University of Arizona,http://basketball-reference.com/players/h/hillso01.html, Right,1991-03-18,
Steven Hill,2009,2009,C,7-0,248,"November 14, 1985",University of Arkansas,http://basketball-reference.com/players/h/hillst01.html, Left,1985-11-14,
Tyrone Hill,1991,2004,F,6-9,240,"March 19, 1968",Xavier University,http://basketball-reference.com/players/h/hillty01.html, Right,1968-03-19,
Art Hillhouse,1947,1948,C,6-7,220,"June 12, 1916",Long Island University,http://basketball-reference.com/players/h/hillhar01.html, Right,1916-06-12,
Darnell Hillman,1972,1980,F-C,6-9,215,"August 29, 1949",San Jose State University,http://basketball-reference.com/players/h/hillmda01.html, Right,1949-08-29,
Fred Hilton,1972,1973,G-F,6-3,185,"January 15, 1948",Grambling State University,http://basketball-reference.com/players/h/hiltofr01.html, Right,1948-01-15,
Kirk Hinrich,2004,2015,G,6-3,190,"January 2, 1981",University of Kansas,http://basketball-reference.com/players/h/hinriki01.html, Right,1981-01-02,
Roy Hinson,1984,1991,F-C,6-9,210,"May 2, 1961",Rutgers University,http://basketball-reference.com/players/h/hinsoro01.html, Right,1961-05-02,
Mel Hirsch,1947,1947,G,5-6,165,"July 31, 1921",Brooklyn College,http://basketball-reference.com/players/h/hirscme01.html, Right,1921-07-31,
Lew Hitch,1952,1957,F-C,6-8,200,"July 16, 1929",Kansas State University,http://basketball-reference.com/players/h/hitchle01.html, Right,1929-07-16,2012-02-08
Robert Hite,2007,2007,G,6-2,184,"January 12, 1984",University of Miami,http://basketball-reference.com/players/h/hitero01.html, Left,1984-01-12,
Darington Hobson,2012,2012,G,6-7,210,"September 29, 1987",University of New Mexico,http://basketball-reference.com/players/h/hobsoda01.html, Left,1987-09-29,
Donald Hodge,1992,1996,C,7-0,230,"February 25, 1969",Temple University,http://basketball-reference.com/players/h/hodgedo01.html, Right,1969-02-25,
Julius Hodge,2006,2007,G,6-7,210,"November 18, 1983",North Carolina State University,http://basketball-reference.com/players/h/hodgeju01.html, Right,1983-11-18,
Craig Hodges,1983,1992,G,6-2,190,"June 27, 1960","California State University, Long Beach",http://basketball-reference.com/players/h/hodgecr01.html, Right,1960-06-27,
Charlie Hoefer,1947,1948,G,5-9,158,"July 12, 1917",Queens College,http://basketball-reference.com/players/h/hoefech01.html, Right,1917-07-12,
Paul Hoffman,1948,1955,G-F,6-2,195,"April 12, 1925",Purdue University,http://basketball-reference.com/players/h/hoffmpa01.html, Right,1925-04-12,1998-11-12
Bob Hogsett,1967,1968,F,6-7,230,"January 29, 1941",University of Tennessee,http://basketball-reference.com/players/h/hogsebo01.html, Right,1941-01-29,1984-12-05
Paul Hogue,1963,1964,C,6-9,240,"April 28, 1940",University of Cincinnati,http://basketball-reference.com/players/h/hoguedu01.html, Right,1940-04-28,2009-08-17
Fred Hoiberg,1996,2005,G,6-4,203,"October 15, 1972",Iowa State University,http://basketball-reference.com/players/h/hoibefr01.html, Right,1972-10-15,
Doug Holcomb,1949,1949,F,6-4,200,"February 9, 1925",University of Wisconsin,http://basketball-reference.com/players/h/holcodo01.html, Right,1925-02-09,2008-02-03
Randy Holcomb,2006,2006,F,6-9,225,"August 8, 1979",San Diego State University,http://basketball-reference.com/players/h/holcora01.html, Left,1979-08-08,
Jrue Holiday,2010,2015,G,6-4,205,"June 12, 1990","University of California, Los Angeles",http://basketball-reference.com/players/h/holidjr01.html, Right,1990-06-12,
Justin Holiday,2013,2015,F,6-6,185,"April 5, 1989",University of Washington,http://basketball-reference.com/players/h/holidju01.html, Right,1989-04-05,
Brad Holland,1980,1982,G,6-3,180,"December 6, 1956","University of California, Los Angeles",http://basketball-reference.com/players/h/hollabr01.html, Right,1956-12-06,
Joe Holland,1950,1952,F,6-4,185,"September 26, 1925",University of Kentucky,http://basketball-reference.com/players/h/hollajo01.html, Right,1925-09-26,2010-09-18
Wilbur Holland,1976,1979,G,6-0,175,"November 8, 1951",University of New Orleans,http://basketball-reference.com/players/h/hollawi01.html, Left,1951-11-08,
Lionel Hollins,1976,1985,G,6-3,185,"October 19, 1953",Arizona State University,http://basketball-reference.com/players/h/hollili01.html, Left,1953-10-19,
Ryan Hollins,2007,2015,C,7-0,230,"October 10, 1984","University of California, Los Angeles",http://basketball-reference.com/players/h/holliry01.html, Right,1984-10-10,
Essie Hollis,1979,1979,F,6-6,195,"May 16, 1955",St. Bonaventure University,http://basketball-reference.com/players/h/hollies01.html, Right,1955-05-16,
Dennis Holman,1968,1968,G,6-3,175,"October 8, 1945",Southern Methodist University,http://basketball-reference.com/players/h/holmade01.html, Right,1945-10-08,
Jim Holstein,1953,1956,F-G,6-3,180,"September 24, 1930",University of Cincinnati,http://basketball-reference.com/players/h/holstji01.html, Right,1930-09-24,2007-12-16
A.W. Holt,1971,1971,F,6-7,210,"August 26, 1946",Jackson State University,http://basketball-reference.com/players/h/holtaw01.html, Right,1946-08-26,
Mike Holton,1985,1990,G,6-4,185,"August 4, 1961","University of California, Los Angeles",http://basketball-reference.com/players/h/holtomi01.html, Left,1961-08-04,
Dick Holub,1948,1948,C,6-6,205,"October 29, 1921",Long Island University,http://basketball-reference.com/players/h/holubdi01.html, Right,1921-10-29,2009-07-27
Joe Holup,1957,1959,F,6-6,215,"February 26, 1934",George Washington University,http://basketball-reference.com/players/h/holupjo01.html, Right,1934-02-26,1998-01-28
Red Holzman*,1949,1954,G,5-10,175,"August 10, 1920",City College of New York,http://basketball-reference.com/players/h/holzmre01.html, Right,1920-08-10,1998-11-13
Jerald Honeycutt,1998,1999,F-G,6-9,245,"October 20, 1974",Tulane University,http://basketball-reference.com/players/h/honeyje01.html, Right,1974-10-20,
Tyler Honeycutt,2012,2013,F,6-8,188,"July 15, 1990","University of California, Los Angeles",http://basketball-reference.com/players/h/honeyty01.html, Right,1990-07-15,
Derek Hood,2000,2000,F,6-8,222,"December 22, 1976",University of Arkansas,http://basketball-reference.com/players/h/hoodde01.html, Right,1976-12-22,
Rodney Hood,2015,2015,G-F,6-8,215,"October 20, 1992",Duke University,http://basketball-reference.com/players/h/hoodro01.html, Left,1992-10-20,
Bobby Hooper,1969,1969,G,6-0,180,"December 22, 1946",University of Dayton,http://basketball-reference.com/players/h/hoopebo01.html, Right,1946-12-22,
Carroll Hooser,1968,1968,F,6-7,230,"March 5, 1944",Southern Methodist University,http://basketball-reference.com/players/h/hooseca01.html, Right,1944-03-05,
Tom Hoover,1964,1969,C,6-9,230,"January 23, 1941",Villanova University,http://basketball-reference.com/players/h/hooveto01.html, Right,1941-01-23,
Bob Hopkins,1957,1960,C-F,6-8,205,"November 3, 1934",Grambling State University,http://basketball-reference.com/players/h/hopkibo01.html, Right,1934-11-03,
Dave Hoppen,1988,1993,C-F,6-11,235,"March 13, 1964",University of Nebraska,http://basketball-reference.com/players/h/hoppeda01.html, Right,1964-03-13,
Dennis Hopson,1988,1992,G-F,6-5,200,"April 22, 1965",Ohio State University,http://basketball-reference.com/players/h/hopsode01.html, Right,1965-04-22,
Scotty Hopson,2014,2014,G,6-7,204,"August 8, 1989",University of Tennessee,http://basketball-reference.com/players/h/hopsosc01.html, Right,1989-08-08,
Johnny Horan,1956,1956,F,6-8,190,"November 24, 1932",University of Dayton,http://basketball-reference.com/players/h/horanjo01.html, Right,1932-11-24,1980-11-14
Cedrick Hordges,1981,1982,F-C,6-8,220,"January 8, 1957",University of South Carolina,http://basketball-reference.com/players/h/hordgce01.html, Right,1957-01-08,
Al Horford,2008,2015,C,6-10,245,"June 3, 1986",University of Florida,http://basketball-reference.com/players/h/horfoal01.html, Right,1986-06-03,
Tito Horford,1989,1994,C,7-1,245,"January 19, 1966",University of Miami,http://basketball-reference.com/players/h/horfoti01.html, Right,1966-01-19,
Ron Horn,1962,1968,F,6-7,220,"May 24, 1938",Indiana University,http://basketball-reference.com/players/h/hornro01.html, Right,1938-05-24,2002-10-05
Jeff Hornacek,1987,2000,G,6-3,190,"May 3, 1963",Iowa State University,http://basketball-reference.com/players/h/hornaje01.html, Right,1963-05-03,
Dennis Horner,2012,2012,F,6-9,230,"February 5, 1988",North Carolina State University,http://basketball-reference.com/players/h/hornede01.html, Right,1988-02-05,
Robert Horry,1993,2008,F,6-9,220,"August 25, 1970",University of Alabama,http://basketball-reference.com/players/h/horryro01.html, Right,1970-08-25,
Ed Horton,1990,1990,F,6-8,230,"December 17, 1967",University of Iowa,http://basketball-reference.com/players/h/hortoed01.html, Right,1967-12-17,
Bill Hosket,1969,1972,F-C,6-8,225,"December 20, 1946",Ohio State University,http://basketball-reference.com/players/h/hoskebi01.html, Right,1946-12-20,
Bob Houbregs*,1954,1958,C-F,6-7,210,"March 12, 1932",University of Washington,http://basketball-reference.com/players/h/houbrbo01.html, Right,1932-03-12,2014-05-28
Eddie House,2001,2011,G,6-1,180,"May 14, 1978",Arizona State University,http://basketball-reference.com/players/h/houseed01.html, Right,1978-05-14,
Allan Houston,1994,2005,G,6-6,200,"April 20, 1971",University of Tennessee,http://basketball-reference.com/players/h/houstal01.html, Right,1971-04-20,
Byron Houston,1993,1996,F,6-5,250,"November 22, 1969",Oklahoma State University,http://basketball-reference.com/players/h/houstby01.html, Right,1969-11-22,
Tom Hovasse,1995,1995,F,6-8,205,"January 31, 1967",Pennsylvania State University,http://basketball-reference.com/players/h/hovasto01.html, Right,1967-01-31,
Brian Howard,1992,1993,F,6-6,204,"October 19, 1967",North Carolina State University,http://basketball-reference.com/players/h/howarbr01.html, Right,1967-10-19,
Dwight Howard,2005,2015,C-F,6-11,240,"December 8, 1985", ,http://basketball-reference.com/players/h/howardw01.html, Right,1985-12-08,
Greg Howard,1971,1972,F-C,6-9,215,"January 8, 1948",University of New Mexico,http://basketball-reference.com/players/h/howargr01.html, Right,1948-01-08,
Josh Howard,2004,2013,F-G,6-7,210,"April 28, 1980",Wake Forest University,http://basketball-reference.com/players/h/howarjo01.html, Right,1980-04-28,
Juwan Howard,1995,2013,F,6-9,240,"February 7, 1973",University of Michigan,http://basketball-reference.com/players/h/howarju01.html, Right,1973-02-07,
Mo Howard,1977,1977,G,6-2,170,"August 25, 1954",University of Maryland,http://basketball-reference.com/players/h/howarmo01.html, Right,1954-08-25,
Otis Howard,1979,1979,F,6-7,220,"November 5, 1956",Austin Peay State University,http://basketball-reference.com/players/h/howarot01.html, Right,1956-11-05,
Stephen Howard,1993,1998,F,6-9,225,"July 15, 1970",DePaul University,http://basketball-reference.com/players/h/howarst01.html, Left,1970-07-15,
Bailey Howell*,1960,1971,F,6-7,210,"January 20, 1937",Mississippi State University,http://basketball-reference.com/players/h/howelba01.html, Right,1937-01-20,
Bob Hubbard,1948,1949,C-F,6-6,215,"December 27, 1922",Springfield College,http://basketball-reference.com/players/h/hubbabo01.html, Right,1922-12-27,2011-08-27
Phil Hubbard,1980,1989,F-C,6-8,215,"December 13, 1956",University of Michigan,http://basketball-reference.com/players/h/hubbaph01.html, Right,1956-12-13,
Lester Hudson,2010,2012,G,6-3,190,"August 7, 1984",University of Tennessee at Martin,http://basketball-reference.com/players/h/hudsole01.html, Right,1984-08-07,
Lou Hudson,1967,1979,F-G,6-5,210,"July 11, 1944",University of Minnesota,http://basketball-reference.com/players/h/hudsolo01.html, Right,1944-07-11,2014-04-11
Troy Hudson,1998,2008,G,6-1,170,"March 13, 1976",Southern Illinois University,http://basketball-reference.com/players/h/hudsotr01.html, Right,1976-03-13,
Nate Huffman,2003,2003,C,7-1,245,"April 2, 1975",Central Michigan University,http://basketball-reference.com/players/h/huffmna01.html, Right,1975-04-02,
Alfredrick Hughes,1986,1986,F-G,6-5,215,"July 19, 1962",Loyola University of Chicago,http://basketball-reference.com/players/h/hugheri01.html, Right,1962-07-19,
Eddie Hughes,1988,1990,G,5-10,165,"May 26, 1960",Colorado State University,http://basketball-reference.com/players/h/hugheed01.html, Right,1960-05-26,
Kim Hughes,1976,1981,C,6-11,220,"June 4, 1952",University of Wisconsin,http://basketball-reference.com/players/h/hugheki01.html, Left,1952-06-04,
Larry Hughes,1999,2012,G,6-5,184,"January 23, 1979",Saint Louis University,http://basketball-reference.com/players/h/hughela01.html, Right,1979-01-23,
Rick Hughes,2000,2000,F,6-9,235,"August 22, 1973",Thomas More College,http://basketball-reference.com/players/h/hugheri02.html, Right,1973-08-22,
Robbie Hummel,2014,2015,F,6-8,215,"March 8, 1989",Purdue University,http://basketball-reference.com/players/h/hummero01.html, Right,1989-03-08,
John Hummer,1971,1976,F-C,6-9,230,"May 4, 1948",Princeton University,http://basketball-reference.com/players/h/hummejo01.html, Right,1948-05-04,
Ryan Humphrey,2003,2005,F,6-8,235,"July 24, 1979",University of Notre Dame,http://basketball-reference.com/players/h/humphry01.html, Right,1979-07-24,
Jay Humphries,1985,1995,G,6-3,185,"October 17, 1962",University of Colorado,http://basketball-reference.com/players/h/humphja01.html, Right,1962-10-17,
Kris Humphries,2005,2015,F,6-9,235,"February 6, 1985",University of Minnesota,http://basketball-reference.com/players/h/humphkr01.html, Right,1985-02-06,
Hot Rod Hundley,1958,1963,G,6-4,185,"October 26, 1934",West Virginia University,http://basketball-reference.com/players/h/hundlho01.html, Right,1934-10-26,
Brandon Hunter,2004,2005,F,6-7,260,"November 24, 1980",Ohio University,http://basketball-reference.com/players/h/huntebr01.html, Right,1980-11-24,
Cedric Hunter,1992,1992,G,6-0,180,"January 16, 1965",University of Kansas,http://basketball-reference.com/players/h/huntece01.html, Right,1965-01-16,
Chris Hunter,2010,2010,F,6-11,240,"July 7, 1984",University of Michigan,http://basketball-reference.com/players/h/huntech01.html, Right,1984-07-07,
Les Hunter,1965,1973,F-C,6-7,210,"August 16, 1942",Loyola University of Chicago,http://basketball-reference.com/players/h/huntele01.html, Right,1942-08-16,
Lindsey Hunter,1994,2010,G,6-2,170,"December 3, 1970",Jackson State University,http://basketball-reference.com/players/h/hunteli01.html, Right,1970-12-03,
Othello Hunter,2009,2010,F,6-8,225,"May 28, 1986",Ohio State University,http://basketball-reference.com/players/h/hunteot01.html, Right,1986-05-28,
Steven Hunter,2002,2010,C,7-0,220,"October 31, 1981",DePaul University,http://basketball-reference.com/players/h/huntest01.html, Right,1981-10-31,
Bobby Hurley,1994,1998,G,6-0,165,"June 28, 1971",Duke University,http://basketball-reference.com/players/h/hurlebo01.html, Right,1971-06-28,
Roy Hurley,1947,1947,F-G,6-2,170,"August 12, 1922",Murray State University,http://basketball-reference.com/players/h/hurlero01.html, Right,1922-08-12,1993-10-14
Geoff Huston,1980,1987,G,6-2,175,"November 8, 1957",Texas Tech University,http://basketball-reference.com/players/h/hustoge01.html, Right,1957-11-08,
Paul Huston,1948,1948,F,6-3,175,"June 2, 1925",Ohio State University,http://basketball-reference.com/players/h/hustopa01.html, Right,1925-06-02,1992-02-02
Mel Hutchins,1952,1958,F-C,6-6,200,"November 22, 1928",Brigham Young University,http://basketball-reference.com/players/h/hutchme01.html, Right,1928-11-22,
Joe Hutton,1951,1952,G,6-1,170,"October 6, 1928",Hamline University,http://basketball-reference.com/players/h/huttojo01.html, Right,1928-10-06,2009-10-19
Greg Hyder,1971,1971,F,6-6,215,"June 21, 1948",Eastern New Mexico University,http://basketball-reference.com/players/h/hydergr01.html, Right,1948-06-21,
Marc Iavaroni,1983,1989,F,6-8,210,"September 15, 1956",University of Virginia,http://basketball-reference.com/players/i/iavarma01.html, Right,1956-09-15,
Serge Ibaka,2010,2015,F,6-10,220,"September 18, 1989", ,http://basketball-reference.com/players/i/ibakase01.html, Right,1989-09-18,
Andre Iguodala,2005,2015,G-F,6-6,207,"January 28, 1984",University of Arizona,http://basketball-reference.com/players/i/iguodan01.html, Right,1984-01-28,
Zydrunas Ilgauskas,1998,2011,C,7-3,238,"June 5, 1975", ,http://basketball-reference.com/players/i/ilgauzy01.html, Right,1975-06-05,
Mile Ilic,2007,2007,C,7-1,230,"June 2, 1984", ,http://basketball-reference.com/players/i/ilicmi01.html, Right,1984-06-02,
Didier Ilunga-Mbenga,2005,2011,C,7-0,245,"December 30, 1980", ,http://basketball-reference.com/players/m/mbengdj01.html, Right,1980-12-30,
Ersan Ilyasova,2007,2015,F,6-9,235,"May 15, 1987", ,http://basketball-reference.com/players/i/ilyaser01.html, Right,1987-05-15,
Darrall Imhoff,1961,1972,C,6-10,220,"October 11, 1938",University of California,http://basketball-reference.com/players/i/imhofda01.html, Left,1938-10-11,
Tom Ingelsby,1974,1976,G,6-3,180,"February 12, 1951",Villanova University,http://basketball-reference.com/players/i/ingelto01.html, Right,1951-02-12,
Joe Ingles,2015,2015,F-G,6-8,216,"October 2, 1987", ,http://basketball-reference.com/players/i/inglejo01.html, Left,1987-10-02,
McCoy Ingram,1958,1958,F,6-8,210,"August 31, 1931",Jackson State University,http://basketball-reference.com/players/i/ingramc01.html, Right,1931-08-31,
Ervin Inniger,1968,1969,G,6-4,190,"January 16, 1945",Indiana University,http://basketball-reference.com/players/i/inniger01.html, Right,1945-01-16,
Byron Irvin,1990,1993,G,6-5,190,"December 2, 1966",University of Missouri,http://basketball-reference.com/players/i/irvinby01.html, Right,1966-12-02,
George Irvine,1971,1976,F-G,6-6,200,"February 1, 1948",University of Washington,http://basketball-reference.com/players/i/irvinge01.html, Right,1948-02-01,
Kyrie Irving,2012,2015,G,6-3,193,"March 23, 1992",Duke University,http://basketball-reference.com/players/i/irvinky01.html, Right,1992-03-23,
Dan Issel*,1971,1985,C-F,6-9,235,"October 25, 1948",University of Kentucky,http://basketball-reference.com/players/i/isselda01.html, Right,1948-10-25,
Mike Iuzzolino,1992,1993,G,5-10,175,"January 22, 1968",Saint Francis University,http://basketball-reference.com/players/i/iuzzomi01.html, Right,1968-01-22,
Allen Iverson,1997,2010,G,6-0,165,"June 7, 1975",Georgetown University,http://basketball-reference.com/players/i/iversal01.html, Right,1975-06-07,
Willie Iverson,1969,1969,G,6-0,180,"October 8, 1945",Central Michigan University,http://basketball-reference.com/players/i/iverswi01.html, Right,1945-10-08,
Royal Ivey,2005,2014,G,6-3,200,"December 20, 1981",University of Texas at Austin,http://basketball-reference.com/players/i/iveyro01.html, Right,1981-12-20,
Elvin Ivory,1969,1969,F,6-8,210,"July 2, 1948",University of Louisiana at Lafayette,http://basketball-reference.com/players/i/ivoryel01.html, Right,1948-07-02,
Warren Jabali,1969,1975,G-F,6-2,200,"August 29, 1946",Wichita State University,http://basketball-reference.com/players/j/jabalwa01.html, Right,1946-08-29,2012-08-03
Jarrett Jack,2006,2015,G,6-3,202,"October 28, 1983",Georgia Institute of Technology,http://basketball-reference.com/players/j/jackja01.html, Right,1983-10-28,
Al Jackson,1968,1968,G,6-1,185,"July 29, 1943",Wilberforce University,http://basketball-reference.com/players/j/jacksal01.html, Right,1943-07-29,
Bobby Jackson,1998,2009,G,6-1,185,"March 13, 1973",University of Minnesota,http://basketball-reference.com/players/j/jacksbo01.html, Right,1973-03-13,
Cedric Jackson,2010,2010,G,6-3,191,"March 5, 1986",Cleveland State University,http://basketball-reference.com/players/j/jacksce01.html, Right,1986-03-05,
Darnell Jackson,2009,2011,F,6-9,253,"November 7, 1985",University of Kansas,http://basketball-reference.com/players/j/jacksda01.html, Right,1985-11-07,
Greg Jackson,1975,1975,G,6-0,180,"August 2, 1952",Guilford College,http://basketball-reference.com/players/j/jacksgr01.html, Right,1952-08-02,2012-05-01
Jaren Jackson,1990,2002,G-F,6-4,190,"October 27, 1967",Georgetown University,http://basketball-reference.com/players/j/jacksja01.html, Right,1967-10-27,
Jermaine Jackson,2000,2006,G,6-4,204,"June 7, 1976",University of Detroit Mercy,http://basketball-reference.com/players/j/jacksje01.html, Right,1976-06-07,
Jim Jackson,1993,2006,G,6-6,220,"October 14, 1970",Ohio State University,http://basketball-reference.com/players/j/jacksji01.html, Right,1970-10-14,
Luke Jackson,1965,1972,F-C,6-9,240,"October 31, 1941",University of Texas-Pan American,http://basketball-reference.com/players/j/jackslu01.html, Right,1941-10-31,
Luke Jackson,2005,2008,F,6-7,215,"November 6, 1981",University of Oregon,http://basketball-reference.com/players/j/jackslu02.html, Left,1981-11-06,
Marc Jackson,2001,2007,C,6-10,270,"January 16, 1975",Temple University,http://basketball-reference.com/players/j/jacksma02.html, Right,1975-01-16,
Mark Jackson,1988,2004,G,6-1,180,"April 1, 1965",St. John's University,http://basketball-reference.com/players/j/jacksma01.html, Right,1965-04-01,
Mervin Jackson,1969,1973,G,6-3,175,"August 15, 1946",University of Utah,http://basketball-reference.com/players/j/jacksme01.html, Right,1946-08-15,2012-06-07
Michael Jackson,1988,1990,G,6-2,183,"July 13, 1964",Georgetown University,http://basketball-reference.com/players/j/jacksmi02.html, Right,1964-07-13,
Mike Jackson,1973,1976,F,6-7,215,"July 31, 1949","California State University, Los Angeles",http://basketball-reference.com/players/j/jacksmi01.html, Right,1949-07-31,
Myron Jackson,1987,1987,G,6-3,185,"May 6, 1964",University of Arkansas at Little Rock,http://basketball-reference.com/players/j/jacksmy01.html, Right,1964-05-06,
Phil Jackson*,1968,1980,F-C,6-8,220,"September 17, 1945",University of North Dakota,http://basketball-reference.com/players/j/jacksph01.html, Left,1945-09-17,
Ralph Jackson,1985,1985,G,6-2,190,"October 26, 1962","University of California, Los Angeles",http://basketball-reference.com/players/j/jacksra01.html, Right,1962-10-26,
Randell Jackson,1999,2000,F,6-11,215,"January 16, 1976",Florida State University,http://basketball-reference.com/players/j/jacksra02.html, Right,1976-01-16,
Reggie Jackson,2012,2015,G,6-3,208,"April 16, 1990",Boston College,http://basketball-reference.com/players/j/jacksre01.html, Right,1990-04-16,
Stanley Jackson,1994,1994,G,6-3,185,"October 10, 1970",University of Alabama at Birmingham,http://basketball-reference.com/players/j/jacksst01.html, Right,1970-10-10,
Stephen Jackson,2001,2014,F,6-8,218,"April 5, 1978",Butler County Community College,http://basketball-reference.com/players/j/jacksst02.html, Right,1978-04-05,
Tony Jackson,1968,1969,F-G,6-4,200,"November 7, 1942",St. John's University,http://basketball-reference.com/players/j/jacksto01.html, Right,1942-11-07,2005-10-28
Tony Jackson,1981,1981,G,6-0,170,"January 17, 1958",Florida State University,http://basketball-reference.com/players/j/jacksto02.html, Right,1958-01-17,
Tracy Jackson,1982,1984,G-F,6-6,205,"April 21, 1959",University of Notre Dame,http://basketball-reference.com/players/j/jackstr01.html, Right,1959-04-21,
Wardell Jackson,1975,1975,F,6-7,200,"July 18, 1951",Ohio State University,http://basketball-reference.com/players/j/jackswa01.html, Right,1951-07-18,
Fred Jacobs,1947,1947,F,6-3,175,"December 2, 1922",University of Denver,http://basketball-reference.com/players/j/jacobfr01.html, Right,1922-12-02,2008-10-19
Casey Jacobsen,2003,2008,G-F,6-6,215,"March 19, 1981",Stanford University,http://basketball-reference.com/players/j/jacobca01.html, Right,1981-03-19,
Sam Jacobson,1999,2001,G-F,6-4,215,"July 22, 1975",University of Minnesota,http://basketball-reference.com/players/j/jacobsa01.html, Right,1975-07-22,
Dave Jamerson,1991,1994,G-F,6-5,190,"August 13, 1967",Ohio University,http://basketball-reference.com/players/j/jamerda01.html, Right,1967-08-13,
Aaron James,1975,1979,F,6-8,210,"October 5, 1952",Grambling State University,http://basketball-reference.com/players/j/jamesaa01.html, Right,1952-10-05,
Bernard James,2013,2014,C,6-10,240,"February 7, 1985",Florida State University,http://basketball-reference.com/players/j/jamesbe01.html, Left,1985-02-07,
Billy James,1974,1974,G,6-3,185,"February 11, 1950",Marshall University,http://basketball-reference.com/players/j/jamesbi01.html, Right,1950-02-11,
Damion James,2011,2014,G-F,6-7,225,"October 7, 1987",University of Texas at Austin,http://basketball-reference.com/players/j/jamesda01.html, Right,1987-10-07,
Gene James,1949,1951,F,6-4,180,"February 15, 1925",Marshall University,http://basketball-reference.com/players/j/jamesge01.html, Right,1925-02-15,1997-07-06
Henry James,1991,1998,F,6-8,220,"July 29, 1965",St. Mary's University,http://basketball-reference.com/players/j/jameshe01.html, Right,1965-07-29,
Jerome James,1999,2009,C,7-0,300,"November 17, 1975",Florida Agricultural and Mechanical University,http://basketball-reference.com/players/j/jamesje01.html, Right,1975-11-17,
LeBron James,2004,2015,F-G,6-8,240,"December 30, 1984", ,http://basketball-reference.com/players/j/jamesle01.html, Right,1984-12-30,
Mike James,2002,2014,G,6-2,188,"June 23, 1975",Duquesne University,http://basketball-reference.com/players/j/jamesmi01.html, Right,1975-06-23,
Tim James,2000,2002,F,6-7,212,"December 26, 1976",University of Miami,http://basketball-reference.com/players/j/jamesti01.html, Right,1976-12-26,
Antawn Jamison,1999,2014,F,6-8,223,"June 12, 1976",University of North Carolina,http://basketball-reference.com/players/j/jamisan01.html, Right,1976-06-12,
Harold Jamison,2000,2002,F,6-8,260,"November 20, 1976",Clemson University,http://basketball-reference.com/players/j/jamisha01.html, Right,1976-11-20,
John Janisch,1947,1948,F-G,6-3,200,"March 15, 1920",Valparaiso University,http://basketball-reference.com/players/j/janisjo01.html, Right,1920-03-15,1992-08-25
Howie Janotta,1950,1950,F,6-3,185,"October 19, 1924",Seton Hall University,http://basketball-reference.com/players/j/janotho01.html, Right,1924-10-19,2010-11-22
Marko Jaric,2003,2009,G,6-7,198,"October 12, 1978", ,http://basketball-reference.com/players/j/jaricma01.html, Right,1978-10-12,
Tony Jaros,1947,1951,F-G,6-3,185,"February 22, 1920",University of Minnesota,http://basketball-reference.com/players/j/jarosto01.html, Right,1920-02-22,1995-04-22
Jim Jarvis,1968,1969,G,6-1,175,"March 3, 1943",Oregon State University,http://basketball-reference.com/players/j/jarviji01.html, Right,1943-03-03,
Sarunas Jasikevicius,2006,2007,G,6-4,195,"March 5, 1976",University of Maryland,http://basketball-reference.com/players/j/jasiksa01.html, Right,1976-03-05,
Nathan Jawai,2009,2010,F,6-10,280,"October 10, 1986",Midland College,http://basketball-reference.com/players/j/jawaina01.html, Right,1986-10-10,
Buddy Jeannette*,1948,1950,G,5-11,175,"September 15, 1917",Washington & Jefferson College,http://basketball-reference.com/players/j/jeannbu01.html, Right,1917-09-15,1998-03-11
